transition_id,source_segment_id,target_segment_id,source_track_id,target_track_id,source_position,target_position,tempo_diff,energy_diff,chroma_sim,mfcc_sim,baseline_score
T008065,3921_full,1893_full,3921,1893,full_clip,full_clip,0.0,0.0011734366416931014,0.9537386223566213,0.9937523180796194,0.9836986136812172
T004634,1893_full,3921_full,1893,3921,full_clip,full_clip,0.0,0.0011734366416931014,0.9537386223566213,0.9937523180796194,0.9836986136812172
T003571,1642_full,200_full,1642,200,full_clip,full_clip,0.0,0.0017637088894843916,0.9782279392137547,0.949460608246578,0.9815967945239576
T000728,200_full,1642_full,200,1642,full_clip,full_clip,0.0,0.0017637088894843916,0.9782279392137547,0.949460608246578,0.9815967945239576
T009891,5381_full,5156_full,5381,5156,full_clip,full_clip,0.0,0.002620398998260498,0.9369362608593688,0.9875865653266611,0.9759777923248825
T009008,5156_full,5381_full,5156,5381,full_clip,full_clip,0.0,0.002620398998260498,0.9369362608593688,0.9875865653266611,0.9759777923248825
T007301,3906_full,3909_full,3906,3909,full_clip,full_clip,0.0,0.018083438277244512,0.9792476684245621,0.9973197518452255,0.9751548126191691
T007498,3909_full,3906_full,3909,3906,full_clip,full_clip,0.0,0.018083438277244512,0.9792476684245621,0.9973197518452255,0.9751548126191691
T000303,190_full,200_full,190,200,full_clip,full_clip,0.0,0.0119783505797387,0.9666638467681101,0.9845549000494371,0.9749317834605817
T000696,200_full,190_full,200,190,full_clip,full_clip,0.0,0.0119783505797387,0.9666638467681101,0.9845549000494371,0.9749317834605817
T004126,1666_full,3708_full,1666,3708,full_clip,full_clip,0.0,0.0014919787645340105,0.9376786393868969,0.967502830568957,0.9733121791653264
T006773,3708_full,1666_full,3708,1666,full_clip,full_clip,0.0,0.0014919787645340105,0.9376786393868969,0.967502830568957,0.9733121791653264
T008020,3921_full,140_full,3921,140,full_clip,full_clip,0.0,0.003481924533844008,0.9489587692337014,0.952433392247951,0.9716923846858565
T000179,140_full,3921_full,140,3921,full_clip,full_clip,0.0,0.003481924533844008,0.9489587692337014,0.952433392247951,0.9716923846858565
T000202,141_full,194_full,141,194,full_clip,full_clip,0.0,0.004869543015956906,0.931065113424627,0.9739408009610124,0.9692381512036337
T000497,194_full,141_full,194,141,full_clip,full_clip,0.0,0.004869543015956906,0.931065113424627,0.9739408009610124,0.9692381512036337
T001322,212_full,1642_full,212,1642,full_clip,full_clip,0.0,0.007977321743965107,0.935915670533767,0.9776082549079708,0.9683190303977591
T003577,1642_full,212_full,1642,212,full_clip,full_clip,0.0,0.007977321743965107,0.935915670533767,0.9776082549079708,0.9683190303977591
T009095,5157_full,4067_full,5157,4067,full_clip,full_clip,0.0,0.004885699599981301,0.915785688418097,0.991916622435058,0.9682333314124594
T008604,4067_full,5157_full,4067,5157,full_clip,full_clip,0.0,0.004885699599981301,0.915785688418097,0.991916622435058,0.9682333314124594
T000680,197_full,4068_full,197,4068,full_clip,full_clip,0.0,0.0032657235860825,0.9094572474707521,0.990821072563279,0.9677356651677989
T008619,4068_full,197_full,4068,197,full_clip,full_clip,0.0,0.0032657235860825,0.9094572474707521,0.990821072563279,0.9677356651677989
T000332,190_full,1642_full,190,1642,full_clip,full_clip,0.0,0.013742059469223092,0.9653387336931012,0.9571470821658192,0.9672889770718711
T003567,1642_full,190_full,1642,190,full_clip,full_clip,0.0,0.013742059469223092,0.9653387336931012,0.9571470821658192,0.9672889770718711
T004555,1893_full,140_full,1893,140,full_clip,full_clip,0.0,0.004655361175537109,0.9285775972406238,0.9633655336270801,0.9665910247220661
T000144,140_full,1893_full,140,1893,full_clip,full_clip,0.0,0.004655361175537109,0.9285775972406238,0.9633655336270801,0.9665910247220661
T001191,211_full,190_full,211,190,full_clip,full_clip,0.0,0.005379468202590915,0.9156024625151575,0.9829119078390163,0.9658836521197596
T000308,190_full,211_full,190,211,full_clip,full_clip,0.0,0.005379468202590915,0.9156024625151575,0.9829119078390163,0.9658836521197596
T007929,3920_full,204_full,3920,204,full_clip,full_clip,0.0,0.013129472732544,0.9333560000012768,0.9872681538328159,0.9643309580344023
T000970,204_full,3920_full,204,3920,full_clip,full_clip,0.0,0.013129472732544,0.9333560000012768,0.9872681538328159,0.9643309580344023
T001922,620_full,1701_full,620,1701,full_clip,full_clip,0.0,0.0153703764081001,0.9494005875950768,0.9707653053202223,0.9636028609344675
T004177,1701_full,620_full,1701,620,full_clip,full_clip,0.0,0.0153703764081001,0.9494005875950768,0.9707653053202223,0.9636028609344675
T009705,5376_full,190_full,5376,190,full_clip,full_clip,0.0,0.009094372391700717,0.9406228950004772,0.9481635807524874,0.96272521225894
T000394,190_full,5376_full,190,5376,full_clip,full_clip,0.0,0.009094372391700717,0.9406228950004772,0.9481635807524874,0.96272521225894
T006614,3598_full,3921_full,3598,3921,full_clip,full_clip,0.0,0.0143364146351814,0.942572747646013,0.9709717127654267,0.9626297522117078
T008085,3921_full,3598_full,3921,3598,full_clip,full_clip,0.0,0.0143364146351814,0.942572747646013,0.9709717127654267,0.9626297522117078
T000705,200_full,212_full,200,212,full_clip,full_clip,0.0,0.009741030633449499,0.9575283443066114,0.9247910524347874,0.9624756831454914
T001294,212_full,200_full,212,200,full_clip,full_clip,0.0,0.009741030633449499,0.9575283443066114,0.9247910524347874,0.9624756831454914
T005101,3263_full,3265_full,3263,3265,full_clip,full_clip,0.0,0.00828478485345839,0.9024623675642176,0.9970370493040442,0.9618613352766158
T005298,3265_full,3263_full,3265,3263,full_clip,full_clip,0.0,0.00828478485345839,0.9024623675642176,0.9970370493040442,0.9618613352766158
T000704,200_full,211_full,200,211,full_clip,full_clip,0.0,0.017357818782329615,0.9408100481826629,0.9845226700466063,0.9617897296817906
T001195,211_full,200_full,211,200,full_clip,full_clip,0.0,0.017357818782329615,0.9408100481826629,0.9845226700466063,0.9617897296817906
T006392,3537_full,3271_full,3537,3271,full_clip,full_clip,0.0,0.010487593710422502,0.9110785339743571,0.9917328598994047,0.9611825384617656
T005607,3271_full,3537_full,3271,3537,full_clip,full_clip,0.0,0.010487593710422502,0.9110785339743571,0.9917328598994047,0.9611825384617656
T000884,203_full,5159_full,203,5159,full_clip,full_clip,0.0,0.00560825318098071,0.9070555788635686,0.9698422815222665,0.9604768767825431
T009215,5159_full,203_full,5159,203,full_clip,full_clip,0.0,0.00560825318098071,0.9070555788635686,0.9698422815222665,0.9604768767825431
T006892,3832_full,3533_full,3832,3533,full_clip,full_clip,0.0,0.009024016559124007,0.9200553113721386,0.9669773168351747,0.9603880402195525
T006107,3533_full,3832_full,3533,3832,full_clip,full_clip,0.0,0.009024016559124007,0.9200553113721386,0.9669773168351747,0.9603880402195525
T001199,211_full,210_full,211,210,full_clip,full_clip,3.68088942307692,0.008223801851272583,0.9592790894534693,0.9940411479329401,0.9599637074559715
T001100,210_full,211_full,210,211,full_clip,full_clip,3.68088942307692,0.008223801851272583,0.9592790894534693,0.9940411479329401,0.9599637074559715
T001299,212_full,211_full,212,211,full_clip,full_clip,0.0,0.027098849415779114,0.9964442341112645,0.9370449706087998,0.9592434149393603
T001200,211_full,212_full,211,212,full_clip,full_clip,0.0,0.027098849415779114,0.9964442341112645,0.9370449706087998,0.9592434149393603
T001688,546_full,194_full,546,194,full_clip,full_clip,0.0,0.010964445769786904,0.9133221056493696,0.9780759723308073,0.9586473803911855
T000511,194_full,546_full,194,546,full_clip,full_clip,0.0,0.010964445769786904,0.9133221056493696,0.9780759723308073,0.9586473803911855
T000316,190_full,621_full,190,621,full_clip,full_clip,0.0,0.025979891419410706,0.9567573053318246,0.9846533898494603,0.9579779781500286
T001983,621_full,190_full,621,190,full_clip,full_clip,0.0,0.025979891419410706,0.9567573053318246,0.9846533898494603,0.9579779781500286
T004611,1893_full,3273_full,1893,3273,full_clip,full_clip,4.681131114130437,0.008596599102020305,0.9677505502535209,0.9936601306395569,0.9570549365312951
T005788,3273_full,1893_full,3273,1893,full_clip,full_clip,4.681131114130437,0.008596599102020305,0.9677505502535209,0.9936601306395569,0.9570549365312951
T004633,1893_full,3920_full,1893,3920,full_clip,full_clip,0.0,0.030243970453739097,0.9682259579560598,0.9828947429330273,0.9568027655196844
T007966,3920_full,1893_full,3920,1893,full_clip,full_clip,0.0,0.030243970453739097,0.9682259579560598,0.9828947429330273,0.9568027655196844
T001207,211_full,621_full,211,621,full_clip,full_clip,0.0,0.02060042321681979,0.9244130143729392,0.9922838722661823,0.9551802555482984
T001992,621_full,211_full,621,211,full_clip,full_clip,0.0,0.02060042321681979,0.9244130143729392,0.9922838722661823,0.9551802555482984
T004619,1893_full,3598_full,1893,3598,full_clip,full_clip,0.0,0.013162977993488298,0.911506663290997,0.9732758964127343,0.9549442002763576
T006580,3598_full,1893_full,3598,1893,full_clip,full_clip,0.0,0.013162977993488298,0.911506663290997,0.9732758964127343,0.9549442002763576
T006535,3598_full,140_full,3598,140,full_clip,full_clip,0.0,0.017818339169025407,0.9120439947609338,0.9879343300154756,0.95338172526235
T000164,140_full,3598_full,140,3598,full_clip,full_clip,0.0,0.017818339169025407,0.9120439947609338,0.9879343300154756,0.95338172526235
T006404,3537_full,3832_full,3537,3832,full_clip,full_clip,0.0,0.007714349776506396,0.8719501068108433,0.9964832255705,0.9531673273808466
T006895,3832_full,3537_full,3832,3537,full_clip,full_clip,0.0,0.007714349776506396,0.8719501068108433,0.9964832255705,0.9531673273808466
T001050,207_full,3533_full,207,3533,full_clip,full_clip,0.0,0.027791436761617702,0.9677335937740902,0.9504005546053282,0.9526087522916751
T006049,3533_full,207_full,3533,207,full_clip,full_clip,0.0,0.027791436761617702,0.9677335937740902,0.9504005546053282,0.9526087522916751
T001728,546_full,1893_full,546,1893,full_clip,full_clip,4.306640625,0.01162362843751899,0.9623621303716104,0.9843996703180228,0.9524317416125687
T004571,1893_full,546_full,1893,546,full_clip,full_clip,4.306640625,0.01162362843751899,0.9623621303716104,0.9843996703180228,0.9524317416125687
T006344,3537_full,203_full,3537,203,full_clip,full_clip,0.0,0.028996113687753705,0.9497379430597174,0.982242481538645,0.9523737655378904
T000855,203_full,3537_full,203,3537,full_clip,full_clip,0.0,0.028996113687753705,0.9497379430597174,0.982242481538645,0.9523737655378904
T008000,3920_full,3921_full,3920,3921,full_clip,full_clip,0.0,0.0314174070954322,0.9520860024165705,0.9890089112744376,0.9520101758844264
T008099,3921_full,3920_full,3921,3920,full_clip,full_clip,0.0,0.0314174070954322,0.9520860024165705,0.9890089112744376,0.9520101758844264
T006126,3533_full,4069_full,3533,4069,full_clip,full_clip,0.0,0.005837284028530107,0.8698747916255367,0.9830249898480447,0.9517301514287398
T008773,4069_full,3533_full,4069,3533,full_clip,full_clip,0.0,0.005837284028530107,0.8698747916255367,0.9830249898480447,0.9517301514287398
T009271,5159_full,3537_full,5159,3537,full_clip,full_clip,0.0,0.023387860506772995,0.9260373711544851,0.9830306150614732,0.9510294738518672
T006428,3537_full,5159_full,3537,5159,full_clip,full_clip,0.0,0.023387860506772995,0.9260373711544851,0.9830306150614732,0.9510294738518672
T004618,1893_full,3538_full,1893,3538,full_clip,full_clip,0.0,0.029201816767454203,0.9559046016995354,0.9637611913128211,0.9503218020049707
T006481,3538_full,1893_full,3538,1893,full_clip,full_clip,0.0,0.029201816767454203,0.9559046016995354,0.9637611913128211,0.9503218020049707
T000996,207_full,197_full,207,197,full_clip,full_clip,5.5930397727272805,0.002047806978225701,0.942241093585338,0.9882667119307564,0.9503126646198905
T000603,197_full,207_full,197,207,full_clip,full_clip,5.5930397727272805,0.002047806978225701,0.942241093585338,0.9882667119307564,0.9503126646198905
T007925,3920_full,194_full,3920,194,full_clip,full_clip,4.306640625,0.0076558962464332025,0.9404354624987064,0.9867291416170179,0.9502873677015823
T000574,194_full,3920_full,194,3920,full_clip,full_clip,4.306640625,0.0076558962464332025,0.9404354624987064,0.9867291416170179,0.9502873677015823
T000852,203_full,3533_full,203,3533,full_clip,full_clip,0.0,0.012257747352123302,0.8935405533255762,0.96837437279114,0.9494792932037774
T006047,3533_full,203_full,3533,203,full_clip,full_clip,0.0,0.012257747352123302,0.8935405533255762,0.96837437279114,0.9494792932037774
T006613,3598_full,3920_full,3598,3920,full_clip,full_clip,0.0,0.0170809924602508,0.9285777417624301,0.9380738124052959,0.9491070925495374
T007986,3920_full,3598_full,3920,3598,full_clip,full_clip,0.0,0.0170809924602508,0.9285777417624301,0.9380738124052959,0.9491070925495374
T000560,194_full,3598_full,194,3598,full_clip,full_clip,4.306640625,0.009425096213817596,0.9602807397429263,0.9586258794067162,0.9488510984654035
T006539,3598_full,194_full,3598,194,full_clip,full_clip,4.306640625,0.009425096213817596,0.9602807397429263,0.9586258794067162,0.9488510984654035
T009722,5376_full,621_full,5376,621,full_clip,full_clip,0.0,0.01688551902770999,0.945604764717221,0.9092747831865832,0.9486508670247729
T002077,621_full,5376_full,621,5376,full_clip,full_clip,0.0,0.01688551902770999,0.945604764717221,0.9092747831865832,0.9486508670247729
T003661,1642_full,5376_full,1642,5376,full_clip,full_clip,0.0,0.02283643186092381,0.9594282559526459,0.9171252773099956,0.9484171003868691
T009738,5376_full,1642_full,5376,1642,full_clip,full_clip,0.0,0.02283643186092381,0.9594282559526459,0.9171252773099956,0.9484171003868691
T001763,546_full,3921_full,546,3921,full_clip,full_clip,4.306640625,0.012797065079212092,0.954591921763847,0.9812725131540266,0.9483018109557473
T008036,3921_full,546_full,3921,546,full_clip,full_clip,4.306640625,0.012797065079212092,0.954591921763847,0.9812725131540266,0.9483018109557473
T006517,3538_full,4017_full,3538,4017,full_clip,full_clip,4.681131114130437,0.014536025002598704,0.9637385127384028,0.9852714107708993,0.9482341554024498
T008282,4017_full,3538_full,4017,3538,full_clip,full_clip,4.681131114130437,0.014536025002598704,0.9637385127384028,0.9852714107708993,0.9482341554024498
T001544,534_full,3532_full,534,3532,full_clip,full_clip,0.0,0.0260183326900005,0.9264196224612662,0.9763697427853038,0.9471815026054401
T005955,3532_full,534_full,3532,534,full_clip,full_clip,0.0,0.0260183326900005,0.9264196224612662,0.9763697427853038,0.9471815026054401
T003576,1642_full,211_full,1642,211,full_clip,full_clip,0.0,0.019121527671814006,0.9117947890596612,0.9634202675291358,0.9471009625519116
T001223,211_full,1642_full,211,1642,full_clip,full_clip,0.0,0.019121527671814006,0.9117947890596612,0.9634202675291358,0.9471009625519116
T001987,621_full,200_full,621,200,full_clip,full_clip,0.0,0.037958241999149406,0.9573405399639391,0.9881404011368276,0.9468720002173978
T000712,200_full,621_full,200,621,full_clip,full_clip,0.0,0.037958241999149406,0.9573405399639391,0.9881404011368276,0.9468720002173978
T001290,212_full,190_full,212,190,full_clip,full_clip,0.0,0.0217193812131882,0.935346692042023,0.9375957310162913,0.9464037726026769
T000309,190_full,212_full,190,212,full_clip,full_clip,0.0,0.0217193812131882,0.935346692042023,0.9375957310162913,0.9464037726026769
T006436,3538_full,140_full,3538,140,full_clip,full_clip,0.0,0.024546455591917093,0.9184669493053021,0.9742541106824285,0.9458444513361592
T000163,140_full,3538_full,140,3538,full_clip,full_clip,0.0,0.024546455591917093,0.9184669493053021,0.9742541106824285,0.9458444513361592
T002484,718_full,204_full,718,204,full_clip,full_clip,0.0,0.006951384246349293,0.9181096890296514,0.8855683434732754,0.9455951911572013
T000915,204_full,718_full,204,718,full_clip,full_clip,0.0,0.006951384246349293,0.9181096890296514,0.8855683434732754,0.9455951911572013
T003344,1196_full,3912_full,1196,3912,full_clip,full_clip,3.68088942307692,0.009299695491790716,0.9316654504949606,0.9664588439539564,0.9450872613321041
T007755,3912_full,1196_full,3912,1196,full_clip,full_clip,3.68088942307692,0.009299695491790716,0.9316654504949606,0.9664588439539564,0.9450872613321041
T007103,3904_full,3909_full,3904,3909,full_clip,full_clip,0.0,0.03717868030071261,0.945200400097796,0.9919253587368669,0.9447665114759995
T007496,3909_full,3904_full,3909,3904,full_clip,full_clip,0.0,0.03717868030071261,0.945200400097796,0.9919253587368669,0.9447665114759995
T001745,546_full,3535_full,546,3535,full_clip,full_clip,3.97536057692308,0.014906562864780398,0.948489948392923,0.9748394912930469,0.9447315170270906
T006254,3535_full,546_full,3535,546,full_clip,full_clip,3.97536057692308,0.014906562864780398,0.948489948392923,0.9748394912930469,0.9447315170270906
T006841,3832_full,207_full,3832,207,full_clip,full_clip,0.0,0.018767420202493695,0.8816204388297457,0.9928679746745714,0.9442923063813443
T001058,207_full,3832_full,207,3832,full_clip,full_clip,0.0,0.018767420202493695,0.8816204388297457,0.9928679746745714,0.9442923063813443
