segment_id,track_id,start_time,end_time,segment_position
10_full,10,0.0,29.976575963718822,full_clip
140_full,140,0.0,29.976575963718822,full_clip
141_full,141,0.0,29.976575963718822,full_clip
190_full,190,0.0,30.00269841269841,full_clip
193_full,193,0.0,29.976575963718822,full_clip
194_full,194,0.0,30.00269841269841,full_clip
197_full,197,0.0,29.976575963718822,full_clip
200_full,200,0.0,29.976575963718822,full_clip
203_full,203,0.0,29.976575963718822,full_clip
204_full,204,0.0,29.976575963718822,full_clip
207_full,207,0.0,29.976575963718822,full_clip
210_full,210,0.0,30.00269841269841,full_clip
211_full,211,0.0,29.976575963718822,full_clip
212_full,212,0.0,29.976575963718822,full_clip
213_full,213,0.0,29.976575963718822,full_clip
534_full,534,0.0,29.976575963718822,full_clip
540_full,540,0.0,29.976575963718822,full_clip
546_full,546,0.0,29.976575963718822,full_clip
602_full,602,0.0,29.976575963718822,full_clip
620_full,620,0.0,29.976575963718822,full_clip
621_full,621,0.0,29.976575963718822,full_clip
625_full,625,0.0,30.00269841269841,full_clip
714_full,714,0.0,29.976575963718822,full_clip
715_full,715,0.0,29.976575963718822,full_clip
716_full,716,0.0,29.976575963718822,full_clip
718_full,718,0.0,30.00269841269841,full_clip
814_full,814,0.0,29.976575963718822,full_clip
821_full,821,0.0,30.00269841269841,full_clip
822_full,822,0.0,29.976575963718822,full_clip
890_full,890,0.0,29.976575963718822,full_clip
892_full,892,0.0,29.976575963718822,full_clip
1193_full,1193,0.0,30.00269841269841,full_clip
1195_full,1195,0.0,30.00269841269841,full_clip
1196_full,1196,0.0,30.00269841269841,full_clip
1197_full,1197,0.0,29.976575963718822,full_clip
1544_full,1544,0.0,30.00269841269841,full_clip
1642_full,1642,0.0,29.988979166666667,full_clip
1644_full,1644,0.0,29.988979166666667,full_clip
1649_full,1649,0.0,29.988979166666667,full_clip
1661_full,1661,0.0,29.988979166666667,full_clip
1663_full,1663,0.0,30.00269841269841,full_clip
1666_full,1666,0.0,29.976575963718822,full_clip
1701_full,1701,0.0,29.976575963718822,full_clip
1702_full,1702,0.0,30.00269841269841,full_clip
1703_full,1703,0.0,29.976575963718822,full_clip
1704_full,1704,0.0,30.00269841269841,full_clip
1893_full,1893,0.0,29.976575963718822,full_clip
1924_full,1924,0.0,29.976575963718822,full_clip
1925_full,1925,0.0,30.00269841269841,full_clip
2097_full,2097,0.0,30.00269841269841,full_clip
2099_full,2099,0.0,29.976575963718822,full_clip
3263_full,3263,0.0,29.976575963718822,full_clip
3264_full,3264,0.0,29.976575963718822,full_clip
3265_full,3265,0.0,30.00269841269841,full_clip
3266_full,3266,0.0,30.00269841269841,full_clip
3270_full,3270,0.0,29.976575963718822,full_clip
3271_full,3271,0.0,29.976575963718822,full_clip
3272_full,3272,0.0,29.976575963718822,full_clip
3273_full,3273,0.0,30.00269841269841,full_clip
3274_full,3274,0.0,30.00269841269841,full_clip
3532_full,3532,0.0,30.00269841269841,full_clip
3533_full,3533,0.0,30.00269841269841,full_clip
3534_full,3534,0.0,29.976575963718822,full_clip
3535_full,3535,0.0,29.976575963718822,full_clip
3537_full,3537,0.0,29.976575963718822,full_clip
3538_full,3538,0.0,29.976575963718822,full_clip
3598_full,3598,0.0,29.976575963718822,full_clip
3707_full,3707,0.0,30.00269841269841,full_clip
3708_full,3708,0.0,29.976575963718822,full_clip
3832_full,3832,0.0,29.976575963718822,full_clip
3880_full,3880,0.0,29.976575963718822,full_clip
3904_full,3904,0.0,30.00269841269841,full_clip
3905_full,3905,0.0,29.976575963718822,full_clip
3906_full,3906,0.0,30.00269841269841,full_clip
3908_full,3908,0.0,29.976575963718822,full_clip
3909_full,3909,0.0,29.976575963718822,full_clip
3910_full,3910,0.0,29.976575963718822,full_clip
3911_full,3911,0.0,30.00269841269841,full_clip
3912_full,3912,0.0,29.976575963718822,full_clip
3913_full,3913,0.0,29.976575963718822,full_clip
3920_full,3920,0.0,29.976575963718822,full_clip
3921_full,3921,0.0,30.00269841269841,full_clip
4013_full,4013,0.0,29.976575963718822,full_clip
4017_full,4017,0.0,29.976575963718822,full_clip
4037_full,4037,0.0,30.00269841269841,full_clip
4066_full,4066,0.0,29.976575963718822,full_clip
4067_full,4067,0.0,29.976575963718822,full_clip
4068_full,4068,0.0,30.00269841269841,full_clip
4069_full,4069,0.0,29.976575963718822,full_clip
4450_full,4450,0.0,29.976575963718822,full_clip
5156_full,5156,0.0,29.976575963718822,full_clip
5157_full,5157,0.0,30.00269841269841,full_clip
5158_full,5158,0.0,29.976575963718822,full_clip
5159_full,5159,0.0,30.00269841269841,full_clip
5169_full,5169,0.0,30.00269841269841,full_clip
5170_full,5170,0.0,30.00269841269841,full_clip
5171_full,5171,0.0,30.00269841269841,full_clip
5191_full,5191,0.0,30.00269841269841,full_clip
5376_full,5376,0.0,29.976575963718822,full_clip
5381_full,5381,0.0,30.00269841269841,full_clip
